Frame,Status,BestRef,Inliers,Matches,InlierRatio,ProjCx,ProjCy,Latitude,Longitude
1,OK,frame_0041.tif,6,23,0.2608695652173913,650.303459547407,575.2673420994676,31.98536320992369,118.89050916153326
2,OK,frame_0041.tif,5,24,0.20833333333333334,598.8431934610596,658.8478244678809,31.98517932344937,118.89036059408554
3,OK,frame_0020.tif,5,10,0.5,456.90897518210824,758.4438431019017,31.985003116335776,118.88985426589564
4,OK,frame_0020.tif,6,24,0.25,582.538884186554,513.5231117945481,31.98554196952844,118.89021696349434
5,OK,frame_0013.tif,6,26,0.23076923076923078,611.0322908711531,492.1972031280029,31.98560498218339,118.89026703837013
6,OK,frame_0045.tif,6,26,0.23076923076923078,509.7149738583122,717.6049722635357,31.985044686688763,118.8901247357134
7,FAIL,frame_0020.tif,5,31,0.16129032258064516,,,,
8,OK,frame_0020.tif,5,12,0.4166666666666667,797.4469894571699,447.24464383843366,31.985687789622446,118.89083741012477
9,FAIL,frame_0020.tif,5,31,0.16129032258064516,,,,
10,OK,frame_0020.tif,6,24,0.25,723.0229099126258,576.4129434219946,31.985403604815996,118.89062254540704
11,FAIL,frame_0020.tif,5,32,0.15625,,,,
12,FAIL,frame_0020.tif,6,41,0.14634146341463414,,,,
13,OK,frame_0042.tif,6,24,0.25,539.5105136409575,492.451386448716,31.98554541435313,118.89019466314353
14,OK,frame_0041.tif,6,24,0.25,691.0654115207375,650.2339759444257,31.98519827488624,118.89062684260313
15,OK,frame_0041.tif,6,24,0.25,530.3741755066743,670.6812504732868,31.985153288579436,118.89016292182266
16,OK,frame_0045.tif,6,24,0.25,586.321263249138,375.88839770204595,31.985796501638056,118.89034590054132
17,OK,frame_0041.tif,5,18,0.2777777777777778,870.9634098212649,668.1732150934954,31.985158806539737,118.89114621392571
18,OK,frame_0020.tif,5,17,0.29411764705882354,614.0603699576869,594.2020865978072,31.98536446669754,118.89030796704029
19,OK,frame_0041.tif,5,18,0.2777777777777778,536.7175486847478,184.94131927362008,31.986221971133723,118.8901812353456
20,OK,frame_0041.tif,5,16,0.3125,406.1519740130488,1221.4325071639855,31.983941573787277,118.88980428832095
21,OK,frame_0041.tif,5,20,0.25,516.9386709095776,932.0517113543535,31.984578244129086,118.89012413308761
22,OK,frame_0041.tif,5,23,0.21739130434782608,709.4759839131254,617.800491926988,31.985269632203845,118.89067999451935
23,OK,frame_0041.tif,6,24,0.25,388.904182337905,466.14002347511155,31.985603302314946,118.88975449339016
24,OK,frame_0041.tif,5,24,0.20833333333333334,750.8411500833328,900.1071883742325,31.98464852567734,118.89079941708806
25,FAIL,frame_0041.tif,6,35,0.17142857142857143,,,,
26,FAIL,frame_0041.tif,5,21,0.23809523809523808,,,,
27,FAIL,frame_0041.tif,5,26,0.19230769230769232,,,,
28,OK,frame_0041.tif,5,22,0.22727272727272727,637.7365517850433,688.430802908847,31.985114237565064,118.89047288046528
29,OK,frame_0041.tif,5,12,0.4166666666666667,457.29925227217944,1117.4894844394482,31.98417026014368,118.88995195216272
30,OK,frame_0045.tif,5,16,0.3125,797.8188662526488,283.79231497091814,31.98599912339223,118.89095650094173
31,OK,frame_0045.tif,6,25,0.24,548.4805555929878,709.8973608035478,31.985061644302032,118.890236653198
32,OK,frame_0045.tif,5,16,0.3125,739.7818249437396,441.0279776431957,31.98565318722595,118.89078894613185
33,OK,frame_0045.tif,5,25,0.2,694.4685585515082,415.50287179273124,31.985709345333543,118.89065812527048
34,OK,frame_0045.tif,5,20,0.25,399.4001404195969,860.0686948213237,31.984731250454395,118.88980625323174
35,FAIL,frame_0045.tif,5,22,0.22727272727272727,,,,
36,OK,frame_0045.tif,5,18,0.2777777777777778,563.1910827446999,638.4412779472264,31.985218855731937,118.89027912296429
37,OK,frame_0041.tif,5,24,0.20833333333333334,678.8656879268548,709.6132271411361,31.985067633846118,118.8905916216077
38,OK,frame_0045.tif,5,21,0.23809523809523808,418.9240397029031,681.7406916561487,31.985123592145253,118.8898626193586
39,OK,frame_0045.tif,5,25,0.2,699.2790903983714,518.7891047622419,31.98548210398857,118.89067201343106
40,FAIL,frame_0045.tif,6,42,0.14285714285714285,,,,
41,FAIL,frame_0042.tif,6,28,0.21428571428571427,,,,
42,OK,frame_0045.tif,5,18,0.2777777777777778,804.0894939426508,550.3338726950234,31.98541270194644,118.89097460444609
43,FAIL,frame_0045.tif,6,35,0.17142857142857143,,,,
44,OK,frame_0045.tif,5,18,0.2777777777777778,522.5583739279887,770.5747530109435,31.984928147205483,118.89016181502357
